PERMNO,date,SHRCD,PERMCO,DLPRC,DLRET,PRC,RET,SHROUT
12999,2011-09-29,73,39147,,,50.32000,C,100
12999,2011-09-30,73,39147,,,49.70000,-0.012321,100
12999,2011-10-03,73,39147,,,-47.55500,-0.043159,100
12999,2011-10-04,73,39147,,,48.83000,0.026811,100
12999,2011-10-05,73,39147,,,49.51000,0.013926,100
12999,2011-10-06,73,39147,,,50.52000,0.020400,100
12999,2011-10-07,73,39147,,,50.64000,0.002375,100
12999,2011-10-10,73,39147,,,-52.18500,0.030510,100
12999,2011-10-11,73,39147,,,-52.38500,0.003832,100
12999,2011-10-12,73,39147,,,-52.85500,0.008972,100
12999,2011-10-13,73,39147,,,-52.44000,-0.007852,100
12999,2011-10-14,73,39147,,,-53.08000,0.012204,100
12999,2011-10-17,73,39147,,,51.82000,-0.023738,100
12999,2011-10-18,73,39147,,,52.82000,0.019298,100
12999,2011-10-19,73,39147,,,52.26000,-0.010602,100
12999,2011-10-20,73,39147,,,-52.29500,0.000670,100
12999,2011-10-21,73,39147,,,-53.87500,0.030213,100
12999,2011-10-24,73,39147,,,-54.89000,0.018840,100
12999,2011-10-25,73,39147,,,54.75840,-0.002398,100
12999,2011-10-26,73,39147,,,54.24000,-0.009467,100
12999,2011-10-27,73,39147,,,56.21000,0.036320,100
12999,2011-10-28,73,39147,,,56.06000,-0.002669,100
12999,2011-10-31,73,39147,,,55.70000,-0.006422,100
12999,2011-11-01,73,39147,,,52.62000,-0.055296,100
12999,2011-11-02,73,39147,,,53.80500,0.022520,100
12999,2011-11-03,73,39147,,,55.45000,0.030573,100
12999,2011-11-04,73,39147,,,55.34000,-0.001984,100
12999,2011-11-07,73,39147,,,55.57800,0.004301,100
12999,2011-11-08,73,39147,,,55.93200,0.006369,100
12999,2011-11-09,73,39147,,,54.36000,-0.028106,100
12999,2011-11-10,73,39147,,,54.41000,0.000920,100
12999,2011-11-11,73,39147,,,55.58000,0.021503,100
12999,2011-11-14,73,39147,,,55.56000,-0.000360,100
12999,2011-11-15,73,39147,,,-56.05500,0.008909,100
12999,2011-11-16,73,39147,,,55.18400,-0.015538,100
12999,2011-11-17,73,39147,,,53.89000,-0.023449,100
12999,2011-11-18,73,39147,,,-54.27000,0.007051,100
12999,2011-11-21,73,39147,,,52.70000,-0.028929,100
12999,2011-11-22,73,39147,,,52.69000,-0.000190,100
12999,2011-11-23,73,39147,,,51.44000,-0.023724,100
12999,2011-11-25,73,39147,,,-51.04500,-0.007679,100
12999,2011-11-28,73,39147,,,52.81600,0.034695,100
12999,2011-11-29,73,39147,,,53.01000,0.003673,100
12999,2011-11-30,73,39147,,,55.02000,0.037917,150
12999,2011-12-01,73,39147,,,55.41000,0.007088,150
12999,2011-12-02,73,39147,,,55.19310,-0.003914,150
12999,2011-12-05,73,39147,,,-55.30000,0.001937,150
12999,2011-12-06,73,39147,,,-55.16000,-0.002532,150
12999,2011-12-07,73,39147,,,-54.92000,-0.004351,150
12999,2011-12-08,73,39147,,,53.53000,-0.025310,150
12999,2011-12-09,73,39147,,,-54.80500,0.023818,150
12999,2011-12-12,73,39147,,,-53.95000,-0.015601,150
12999,2011-12-13,73,39147,,,54.30480,0.006576,150
12999,2011-12-14,73,39147,,,53.02000,-0.023659,150
12999,2011-12-15,73,39147,,,-53.54000,0.009808,150
12999,2011-12-16,73,39147,,,53.83040,0.008316,150
12999,2011-12-19,73,39147,,,-53.20500,-0.011618,150
12999,2011-12-20,73,39147,,,54.95110,0.032818,150
12999,2011-12-21,73,39147,,,55.16000,0.003802,150
12999,2011-12-22,73,39147,,,56.00000,0.015228,150
12999,2011-12-23,73,39147,,,56.11000,0.001964,150
12999,2011-12-27,73,39147,,,-56.19000,0.001426,150
12999,2011-12-28,73,39147,,,-55.29000,-0.016017,150
12999,2011-12-29,73,39147,,,55.99000,0.012661,150
12999,2011-12-30,73,39147,,,-55.56500,-0.007591,150
12999,2012-01-03,73,39147,,,56.49000,0.016647,150
12999,2012-01-04,73,39147,,,-56.28000,-0.003718,150
12999,2012-01-05,73,39147,,,55.60000,-0.012082,150
12999,2012-01-06,73,39147,,,-56.40000,0.014389,150
12999,2012-01-09,73,39147,,,-56.72000,0.005674,150
12999,2012-01-10,73,39147,,,-57.70000,0.017278,150
12999,2012-01-11,73,39147,,,57.95000,0.004333,150
