PERMNO,date,SHRCD,EXCHCD,PERMCO,DLPRC,DLRET,RET,SHROUT
89468,2002-07-26,73,2,37493,,,C,8300
89468,2002-07-29,73,2,37493,,,-0.013211,8300
89468,2002-07-30,73,2,37493,,,0.001228,8300
89468,2002-07-31,73,2,37493,,,0.012390,8300
89468,2002-08-01,73,2,37493,,,0.005695,8300
89468,2002-08-02,73,2,37493,,,0.010241,8300
89468,2002-08-05,73,2,37493,,,0.004413,8300
89468,2002-08-06,73,2,37493,,,-0.008549,8300
89468,2002-08-07,73,2,37493,,,0.002395,8300
89468,2002-08-08,73,2,37493,,,0.000000,8300
89468,2002-08-09,73,2,37493,,,0.014098,8300
89468,2002-08-12,73,2,37493,,,0.006126,8300
89468,2002-08-13,73,2,37493,,,0.012295,8300
89468,2002-08-14,73,2,37493,,,0.003817,8300
89468,2002-08-15,73,2,37493,,,-0.008758,8300
89468,2002-08-16,73,2,37493,,,-0.011160,8300
89468,2002-08-19,73,2,37493,,,0.003057,8300
89468,2002-08-20,73,2,37493,,,0.011135,8300
89468,2002-08-21,73,2,37493,,,-0.005332,8300
89468,2002-08-22,73,2,37493,,,-0.008740,8300
89468,2002-08-23,73,2,37493,,,0.009875,8300
89468,2002-08-26,73,2,37493,,,0.000931,8300
89468,2002-08-27,73,2,37493,,,-0.006281,8300
89468,2002-08-28,73,2,37493,,,0.005033,8300
89468,2002-08-29,73,2,37493,,,0.008035,8300
89468,2002-08-30,73,2,37493,,,0.006007,8300
89468,2002-09-03,73,2,37493,,,0.015303,8300
89468,2002-09-04,73,2,37493,,,-0.000227,8300
89468,2002-09-05,73,2,37493,,,0.005453,8300
89468,2002-09-06,73,2,37493,,,-0.011751,8300
89468,2002-09-09,73,2,37493,,,-0.001486,8300
89468,2002-09-10,73,2,37493,,,0.004809,8300
89468,2002-09-11,73,2,37493,,,-0.005242,8300
89468,2002-09-12,73,2,37493,,,0.007790,8300
89468,2002-09-13,73,2,37493,,,0.009208,8300
89468,2002-09-16,73,2,37493,,,0.001690,8300
89468,2002-09-17,73,2,37493,,,0.001912,8300
89468,2002-09-18,73,2,37493,,,0.000225,8300
89468,2002-09-19,73,2,37493,,,0.006732,8300
89468,2002-09-20,73,2,37493,,,-0.004681,8300
89468,2002-09-23,73,2,37493,,,0.008959,8300
89468,2002-09-24,73,2,37493,,,0.006437,8300
89468,2002-09-25,73,2,37493,,,-0.012131,8300
89468,2002-09-26,73,2,37493,,,-0.002344,8300
89468,2002-09-27,73,2,37493,,,0.007497,8300
89468,2002-09-30,73,2,37493,,,0.003998,7500
89468,2002-10-01,73,2,37493,,,-0.012359,7500
89468,2002-10-02,73,2,37493,,,0.005734,7500
89468,2002-10-03,73,2,37493,,,-0.002459,7500
89468,2002-10-04,73,2,37493,,,0.003138,7500
89468,2002-10-07,73,2,37493,,,0.001676,7500
89468,2002-10-08,73,2,37493,,,0.000335,7500
89468,2002-10-09,73,2,37493,,,0.005129,7500
89468,2002-10-10,73,2,37493,,,-0.007876,7500
89468,2002-10-11,73,2,37493,,,-0.011852,7500
89468,2002-10-14,73,2,37493,,,-0.001471,7500
89468,2002-10-15,73,2,37493,,,-0.023683,7500
89468,2002-10-16,73,2,37493,,,0.000464,7500
89468,2002-10-17,73,2,37493,,,-0.012181,7500
89468,2002-10-18,73,2,37493,,,0.002584,7500
89468,2002-10-21,73,2,37493,,,-0.009722,7500
89468,2002-10-22,73,2,37493,,,-0.002839,7500
89468,2002-10-23,73,2,37493,,,0.000356,7500
89468,2002-10-24,73,2,37493,,,0.008775,7500
89468,2002-10-25,73,2,37493,,,0.003644,7500
89468,2002-10-28,73,2,37493,,,-0.001405,7500
89468,2002-10-29,73,2,37493,,,0.013019,7500
89468,2002-10-30,73,2,37493,,,-0.000347,7500
89468,2002-10-31,73,2,37493,,,0.004517,7100
89468,2002-11-01,73,2,37493,,,-0.004164,7100
89468,2002-11-04,73,2,37493,,,-0.004420,7100
89468,2002-11-05,73,2,37493,,,-0.003855,7100
89468,2002-11-06,73,2,37493,,,0.003987,7100
89468,2002-11-07,73,2,37493,,,0.024763,7100
89468,2002-11-08,73,2,37493,,,0.008093,7100
89468,2002-11-11,73,2,37493,,,0.005427,7100
89468,2002-11-12,73,2,37493,,,-0.005735,7100
89468,2002-11-13,73,2,37493,,,0.002149,7100
89468,2002-11-14,73,2,37493,,,-0.020767,7100
89468,2002-11-15,73,2,37493,,,0.004034,7100
89468,2002-11-18,73,2,37493,,,0.004477,7100
89468,2002-11-19,73,2,37493,,,0.003657,7100
89468,2002-11-20,73,2,37493,,,-0.009793,7100
89468,2002-11-21,73,2,37493,,,-0.009660,7100
89468,2002-11-22,73,2,37493,,,-0.000929,7100
89468,2002-11-25,73,2,37493,,,-0.001860,7100
89468,2002-11-26,73,2,37493,,,0.012576,7100
89468,2002-11-27,73,2,37493,,,-0.022539,7100
89468,2002-11-29,73,2,37493,,,0.006471,7100
89468,2002-12-02,73,2,37493,,,0.000929,7100
89468,2002-12-03,73,2,37493,,,0.001408,7100
89468,2002-12-04,73,2,37493,,,0.005155,7100
89468,2002-12-05,73,2,37493,,,0.002564,7100
89468,2002-12-06,73,2,37493,,,0.001744,7100
89468,2002-12-09,73,2,37493,,,0.005570,7100
89468,2002-12-10,73,2,37493,,,0.002654,7100
89468,2002-12-11,73,2,37493,,,0.006676,7100
89468,2002-12-12,73,2,37493,,,-0.000915,7100
89468,2002-12-13,73,2,37493,,,-0.009728,7100
89468,2002-12-16,73,2,37493,,,-0.007512,7100
89468,2002-12-17,73,2,37493,,,0.000000,7100
89468,2002-12-18,73,2,37493,,,0.007802,7100
89468,2002-12-19,73,2,37493,,,0.008897,7100
89468,2002-12-20,73,2,37493,,,0.000687,7100
89468,2002-12-23,73,2,37493,,,0.000229,7100
89468,2002-12-24,73,2,37493,,,0.005606,7100
89468,2002-12-26,73,2,37493,,,0.001934,7100
89468,2002-12-27,73,2,37493,,,0.011015,7100
89468,2002-12-30,73,2,37493,,,0.002359,7100
89468,2002-12-31,73,2,37493,,,-0.002507,5700
89468,2003-01-02,73,2,37493,,,-0.025855,5700
89468,2003-01-03,73,2,37493,,,0.002318,5700
89468,2003-01-06,73,2,37493,,,-0.002660,5700
89468,2003-01-07,73,2,37493,,,0.003594,5700
89468,2003-01-08,73,2,37493,,,0.004968,5700
89468,2003-01-09,73,2,37493,,,-0.019198,5700
89468,2003-01-10,73,2,37493,,,0.002579,5700
89468,2003-01-13,73,2,37493,,,0.001637,5700
89468,2003-01-14,73,2,37493,,,0.003501,5700
89468,2003-01-15,73,2,37493,,,0.004885,5700
89468,2003-01-16,73,2,37493,,,0.001389,5700
89468,2003-01-17,73,2,37493,,,0.004970,5700
89468,2003-01-21,73,2,37493,,,0.005750,5700
89468,2003-01-22,73,2,37493,,,0.004917,5700
89468,2003-01-23,73,2,37493,,,-0.004893,5700
89468,2003-01-24,73,2,37493,,,0.005946,5700
89468,2003-01-27,73,2,37493,,,-0.003638,5700
89468,2003-01-28,73,2,37493,,,0.000000,5700
89468,2003-01-29,73,2,37493,,,-0.005476,5700
89468,2003-01-30,73,2,37493,,,0.007457,5700
89468,2003-01-31,73,2,37493,,,0.002733,5100
89468,2003-02-03,73,2,37493,,,0.001448,5100
89468,2003-02-04,73,2,37493,,,0.004438,5100
89468,2003-02-05,73,2,37493,,,-0.008610,5100
89468,2003-02-06,73,2,37493,,,0.008113,5100
89468,2003-02-07,73,2,37493,,,0.002267,5100
89468,2003-02-10,73,2,37493,,,-0.007012,5100
89468,2003-02-11,73,2,37493,,,-0.000228,5100
89468,2003-02-12,73,2,37493,,,0.003532,5100
89468,2003-02-13,73,2,37493,,,0.005449,5100
89468,2003-02-14,73,2,37493,,,-0.008581,5100
89468,2003-02-18,73,2,37493,,,0.001253,5100
89468,2003-02-19,73,2,37493,,,0.006824,5100
89468,2003-02-20,73,2,37493,,,0.003389,5100
89468,2003-02-21,73,2,37493,,,-0.005854,5100
89468,2003-02-24,73,2,37493,,,0.004756,5100
89468,2003-02-25,73,2,37493,,,0.004621,5100
89468,2003-02-26,73,2,37493,,,0.006956,5100
89468,2003-02-27,73,2,37493,,,0.001671,5100
89468,2003-02-28,73,2,37493,,,0.006340,4300
89468,2003-03-03,73,2,37493,,,0.001219,4300
89468,2003-03-04,73,2,37493,,,0.000665,4300
89468,2003-03-05,73,2,37493,,,0.003322,4300
89468,2003-03-06,73,2,37493,,,-0.003863,4300
89468,2003-03-07,73,2,37493,,,0.003435,4300
89468,2003-03-10,73,2,37493,,,0.005190,4300
89468,2003-03-11,73,2,37493,,,-0.001758,4300
89468,2003-03-12,73,2,37493,,,0.003631,4300
89468,2003-03-13,73,2,37493,,,-0.018421,4300
89468,2003-03-14,73,2,37493,,,0.004915,4300
89468,2003-03-17,73,2,37493,,,-0.012005,4300
89468,2003-03-18,73,2,37493,,,-0.009451,4300
89468,2003-03-19,73,2,37493,,,-0.007383,4300
89468,2003-03-20,73,2,37493,,,-0.001602,4300
89468,2003-03-21,73,2,37493,,,-0.013754,4300
89468,2003-03-24,73,2,37493,,,0.015805,4300
89468,2003-03-25,73,2,37493,,,-0.001144,4300
89468,2003-03-26,73,2,37493,,,0.002062,4300
89468,2003-03-27,73,2,37493,,,0.000686,4300
89468,2003-03-28,73,2,37493,,,0.002284,4300
89468,2003-03-31,73,2,37493,,,0.013105,1900
89468,2003-04-01,73,2,37493,,,-0.002835,1900
89468,2003-04-02,73,2,37493,,,-0.010423,1900
89468,2003-04-03,73,2,37493,,,-0.000572,1900
89468,2003-04-04,73,2,37493,,,-0.002864,1900
89468,2003-04-07,73,2,37493,,,-0.002298,1900
89468,2003-04-08,73,2,37493,,,0.008060,1900
89468,2003-04-09,73,2,37493,,,0.002970,1900
89468,2003-04-10,73,2,37493,,,-0.004669,1900
89468,2003-04-11,73,2,37493,,,-0.001602,1900
89468,2003-04-14,73,2,37493,,,-0.002750,1900
89468,2003-04-15,73,2,37493,,,0.005401,1900
89468,2003-04-16,73,2,37493,,,0.004115,1900
89468,2003-04-17,73,2,37493,,,0.001594,1900
89468,2003-04-21,73,2,37493,,,-0.002159,1900
89468,2003-04-22,73,2,37493,,,-0.000570,1900
89468,2003-04-23,73,2,37493,,,0.002051,1900
89468,2003-04-24,73,2,37493,,,0.008984,1900
89468,2003-04-25,73,2,37493,,,0.002254,1900
89468,2003-04-28,73,2,37493,,,-0.001574,1900
89468,2003-04-29,73,2,37493,,,-0.001690,1900
89468,2003-04-30,73,2,37493,,,0.009252,1300
89468,2003-05-01,73,2,37493,,,0.000481,1300
89468,2003-05-02,73,2,37493,,,-0.007863,1300
89468,2003-05-05,73,2,37493,,,0.005322,1300
89468,2003-05-06,73,2,37493,,,0.004956,1300
89468,2003-05-07,73,2,37493,,,0.011655,1300
89468,2003-05-08,73,2,37493,,,0.002437,1300
89468,2003-05-09,73,2,37493,,,0.000995,1300
89468,2003-05-12,73,2,37493,,,0.006293,1300
89468,2003-05-13,73,2,37493,,,0.002194,1300
89468,2003-05-14,73,2,37493,,,0.015326,1300
89468,2003-05-15,73,2,37493,,,0.003127,1300
89468,2003-05-16,73,2,37493,,,0.007309,1300
89468,2003-05-19,73,2,37493,,,-0.003414,1300
89468,2003-05-20,73,2,37493,,,0.014775,1300
89468,2003-05-21,73,2,37493,,,-0.000106,1300
89468,2003-05-22,73,2,37493,,,0.008864,1300
89468,2003-05-23,73,2,37493,,,0.002510,1300
89468,2003-05-27,73,2,37493,,,-0.018049,1300
89468,2003-05-28,73,2,37493,,,-0.001700,1300
89468,2003-05-29,73,2,37493,,,0.008727,1300
89468,2003-05-30,73,2,37493,,,-0.001899,1000
89468,2003-06-02,73,2,37493,,,-0.007311,1000
89468,2003-06-03,73,2,37493,,,0.008021,1000
89468,2003-06-04,73,2,37493,,,0.002970,1000
89468,2003-06-05,73,2,37493,,,-0.007827,1000
89468,2003-06-06,73,2,37493,,,0.003625,1000
89468,2003-06-09,73,2,37493,,,0.006692,1000
89468,2003-06-10,73,2,37493,,,0.011924,1000
89468,2003-06-11,73,2,37493,,,-0.001251,1000
89468,2003-06-12,73,2,37493,,,0.007830,1000
89468,2003-06-13,73,2,37493,,,0.006734,1000
89468,2003-06-16,73,2,37493,,,-0.009467,1000
89468,2003-06-17,73,2,37493,,,-0.007895,1000
89468,2003-06-18,73,2,37493,,,-0.012775,1000
89468,2003-06-19,73,2,37493,,,-0.001909,1000
89468,2003-06-20,73,2,37493,,,-0.003719,1000
89468,2003-06-23,73,2,37493,,,0.005973,1000
89468,2003-06-24,73,2,37493,,,0.009225,1000
89468,2003-06-25,73,2,37493,,,-0.015970,1000
89468,2003-06-26,73,2,37493,,,-0.013453,1000
89468,2003-06-27,73,2,37493,,,-0.003571,1000
89468,2003-06-30,73,2,37493,,,0.004670,2400
89468,2003-07-01,73,2,37493,,,-0.004942,2400
89468,2003-07-02,73,2,37493,,,0.002508,2400
89468,2003-07-03,73,2,37493,,,-0.014360,2400
89468,2003-07-07,73,2,37493,,,-0.006402,2400
89468,2003-07-08,73,2,37493,,,0.000889,2400
89468,2003-07-09,73,2,37493,,,0.003219,2400
89468,2003-07-10,73,2,37493,,,-0.000332,2400
89468,2003-07-11,73,2,37493,,,0.004759,2400
89468,2003-07-14,73,2,37493,,,-0.011455,2400
89468,2003-07-15,73,2,37493,,,-0.023398,2400
89468,2003-07-16,73,2,37493,,,0.005705,2400
89468,2003-07-17,73,2,37493,,,-0.003063,2400
89468,2003-07-18,73,2,37493,,,-0.002048,2400
89468,2003-07-21,73,2,37493,,,-0.021209,2400
89468,2003-07-22,73,2,37493,,,0.004893,2400
89468,2003-07-23,73,2,37493,,,0.003362,2400
89468,2003-07-24,73,2,37493,,,-0.008781,2400
89468,2003-07-25,73,2,37493,,,-0.002681,2400
89468,2003-07-28,73,2,37493,,,-0.013441,2400
89468,2003-07-29,73,2,37493,,,-0.013624,2400
89468,2003-07-30,73,2,37493,,,0.011290,2400
89468,2003-07-31,73,2,37493,,,-0.014846,5400
89468,2003-08-01,73,2,37493,,,-0.000748,5400
89468,2003-08-04,73,2,37493,,,0.008605,5400
89468,2003-08-05,73,2,37493,,,-0.014299,5400
89468,2003-08-06,73,2,37493,,,0.019749,5400
89468,2003-08-07,73,2,37493,,,0.004184,5400
89468,2003-08-08,73,2,37493,,,-0.004048,5400
89468,2003-08-11,73,2,37493,,,-0.005020,5400
89468,2003-08-12,73,2,37493,,,-0.004685,5400
89468,2003-08-13,73,2,37493,,,-0.019312,5400
89468,2003-08-14,73,2,37493,,,0.009846,5400
89468,2003-08-15,73,2,37493,,,-0.000609,5400
89468,2003-08-18,73,2,37493,,,0.004634,5400
89468,2003-08-19,73,2,37493,,,0.015416,5400
89468,2003-08-20,73,2,37493,,,-0.005380,5400
89468,2003-08-21,73,2,37493,,,-0.002404,5400
89468,2003-08-22,73,2,37493,,,0.004458,5400
89468,2003-08-25,73,2,37493,,,-0.007797,5400
89468,2003-08-26,73,2,37493,,,0.007858,5400
89468,2003-08-27,73,2,37493,,,-0.004558,5400
89468,2003-08-28,73,2,37493,,,0.010363,5400
89468,2003-08-29,73,2,37493,,,-0.002385,9200
89468,2003-09-02,73,2,37493,,,-0.014561,9200
89468,2003-09-03,73,2,37493,,,0.001584,9200
89468,2003-09-04,73,2,37493,,,0.005597,9200
89468,2003-09-05,73,2,37493,,,0.017181,9200
89468,2003-09-08,73,2,37493,,,-0.010349,9200
89468,2003-09-09,73,2,37493,,,0.007212,9200
89468,2003-09-10,73,2,37493,,,0.010143,9200
89468,2003-09-11,73,2,37493,,,-0.006497,9200
89468,2003-09-12,73,2,37493,,,0.006897,9200
89468,2003-09-15,73,2,37493,,,-0.001535,9200
89468,2003-09-16,73,2,37493,,,-0.001538,9200
89468,2003-09-17,73,2,37493,,,0.012438,9200
89468,2003-09-18,73,2,37493,,,0.000702,9200
89468,2003-09-19,73,2,37493,,,0.001169,9200
89468,2003-09-22,73,2,37493,,,-0.007941,9200
89468,2003-09-23,73,2,37493,,,0.006828,9200
89468,2003-09-24,73,2,37493,,,0.008652,9200
89468,2003-09-25,73,2,37493,,,0.004984,9200
89468,2003-09-26,73,2,37493,,,0.008997,9200
